VM3149:14 R1: 02e7, R2: ba98, R3: 89ab, R4: e000, R5: 1337, R6: 07ff, R7: 03ff, R8: 0000,  ha: 1
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 005a, R6: 0000, R7: 0030, R8: 0036,  ha: 0, lf: 1, la: 1002, ld: 006c
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0040, R6: 0000, R7: 0030, R8: 0037,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0041, R6: 0000, R7: 0030, R8: 0038,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0041, R6: 0001, R7: 0030, R8: 0039,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 0041, R6: 0001, R7: 0030, R8: 003a,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 005a, R6: 0001, R7: 0030, R8: 003b,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 005a, R6: 0000, R7: 0030, R8: 003c,  ha: 0
VM3149:14 R1: 1000, R2: 1002, R3: 1025, R4: 006c, R5: 005a, R6: 0000, R7: 0030, R8: 003e,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 006c, R5: 005a, R6: 0000, R7: 0030, R8: 003f,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 006c, R5: 005a, R6: 0000, R7: 0030, R8: 0034,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 006c, R5: 005a, R6: 0000, R7: 0030, R8: 0035,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 005a, R6: 0000, R7: 0030, R8: 0036,  ha: 0, lf: 1, la: 1003, ld: 0061
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 0040, R6: 0000, R7: 0030, R8: 0037,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 0041, R6: 0000, R7: 0030, R8: 0038,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 0041, R6: 0001, R7: 0030, R8: 0039,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 0041, R6: 0001, R7: 0030, R8: 003a,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 005a, R6: 0001, R7: 0030, R8: 003b,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 005a, R6: 0000, R7: 0030, R8: 003c,  ha: 0
VM3149:14 R1: 1000, R2: 1003, R3: 1025, R4: 0061, R5: 005a, R6: 0000, R7: 0030, R8: 003e,  ha: 0
VM3149:14 R1: 1000, R2: 1004, R3: 1025, R4: 0061, R5: 005a, R6: 0000, R7: 0030, R8: 003f,  ha: 0
VM3149:14 R1: 1000, R2: 1004, R3: 1025, R4: 0061, R5: 005a, R6: 0000, R7: 0030, R8: 0034,  ha: 0
VM3149:14 R1: 1000, R2: 1004, R3: 1025, R4: 0061, R5: 005a, R6: 0000, R7: 0030, R8: 0035,  ha: 0
VM3149:14 R1: 1000, R2: 1004, R3: 1025, R4: 0067, R5: 005a, R6: 0000, R7: 0030, R8: 0036,  ha: 0, lf: 1, la: 1004, ld: 0067
VM3149:14 R1: 1000, R2: 1004, R3: 1025, R4: 0067, R5: 0040, R6: 0000, R7: 0030, R8: 0037,  ha: 0
VM3149:14 R1: 1000, R2: 1004, R3: 1025, R4: 0067, R5: 0041, R6: 0000, R7: 0030, R8: 0038,  ha: 0
VM3149:14 R1: 1000, R2: 1004, R3: 1025, R4: 0067, R5: 0041, R6: 0001, R7: 0030, R8: 0039,  ha: 0
VM3149:14 R1: 1000, R2: 1004, R3: 1025, R4: 0067, R5: 0041, R6: 0001, R7: 0030, R8: 003a,  ha: 0
VM3149:14 R1: 1000, R2: 1004, R3: 1025, R4: 0067, R5: 005a, R6: 0001, R7: 0030, R8: 003b,  ha: 0
VM3149:14 R1: 1000, R2: 1004, R3: 1025, R4: 0067, R5: 005a, R6: 0000, R7: 0030, R8: 003c,  ha: 0
VM3149:14 R1: 1000, R2: 1004, R3: 1025, R4: 0067, R5: 005a, R6: 0000, R7: 0030, R8: 003e,  ha: 0
VM3149:14 R1: 1000, R2: 1005, R3: 1025, R4: 0067, R5: 005a, R6: 0000, R7: 0030, R8: 003f,  ha: 0
